smiles_orig,smiles_adv,pred_orig,pred_adv,shift
CC1CN(C(=O)Cc2ccccc2)CC=C1c1cc(NC(=O)C2CC2)nc2[nH]ccc12,CC1CN(C(=O)Cc2ccccc2)CC=C1c1cc(NC(=O)C2CC2)nc2[nH]ccc12.c1ccc(-c2nc3ccccc3o2)cc1,6.973746299743652,6.915040969848633,-0.05870532989501953
Cc1nn(C)cc1C(=O)N1CCC2(CC1)CC2CNC(=O)N1Cc2ccncc2C1,Cc1nn(C)cc1C(=O)N1CCC2(CC1)CC2CNC(=O)N1Cc2ccncc2C1.N#Cc1ccccc1,7.5534234046936035,7.7078423500061035,0.1544189453125
Clc1ccc(C(c2ccc(Cl)cc2)c2nnc(-c3ccccc3)[nH]2)cc1,Clc1ccc(C(c2ccc(Cl)cc2)c2nnc(-c3ccccc3)[nH]2)cc1.c1csc(-c2cccs2)c1,5.537698268890381,5.459019184112549,-0.07867908477783203
CC(C)(C)CNCC(O)CNC(=O)CC1c2ccccc2-c2ccccc21,C=C(C(=O)O)c1ccccc1.CC(C)(C)CNCC(O)CNC(=O)CC1c2ccccc2-c2ccccc21,6.16412878036499,6.158259391784668,-0.005869388580322266
CC(=O)OC1C(CN(C)C/C=C\CN)OC(n2cnc3c(N)ncnc32)C1OC(C)=O,CC(=O)OC1C(CN(C)C/C=C\CN)OC(n2cnc3c(N)ncnc32)C1OC(C)=O.O=C1Nc2ccccc2C1=O,5.9343695640563965,5.977786064147949,0.043416500091552734
Cc1c(-c2[nH]c3ccc(N4C[C@@H](C)NC[C@H]4C)nc3c2C(C)C)cn2ncnc2c1C,Cc1c(-c2[nH]c3ccc(N4C[C@@H](C)NC[C@H]4C)nc3c2C(C)C)cn2ncnc2c1C.c1csc(-c2cccs2)c1,7.104109287261963,6.978302001953125,-0.1258072853088379
COc1cc(/C=C/C(=O)O)ccc1S,C=C(C(=O)O)c1ccccc1.COc1cc(/C=C/C(=O)O)ccc1S,5.65415620803833,5.669408798217773,0.01525259017944336
CC(=O)c1cccc(-c2cccc(Nc3nccc(C(F)(F)F)n3)c2)c1,CC(=O)c1cccc(-c2cccc(Nc3nccc(C(F)(F)F)n3)c2)c1.O=C1Nc2ccccc2C1=O,6.227962017059326,6.416940689086914,0.1889786720275879
CC(C)N(C(=O)CN1C(=O)C(CC(=O)Nc2ccccc2)C(=O)N(c2ccccc2)c2ccccc21)c1ccccc1,CC(C)N(C(=O)CN1C(=O)C(CC(=O)Nc2ccccc2)C(=O)N(c2ccccc2)c2ccccc21)c1ccccc1.c1ccc(-c2nc3ccccc3o2)cc1,6.2583441734313965,6.12030553817749,-0.13803863525390625
CCn1cc2c(nc(NC(=O)Cc3cccs3)n3nc(-c4ccco4)nc23)n1,CCn1cc2c(nc(NC(=O)Cc3cccs3)n3nc(-c4ccco4)nc23)n1.c1ccc(-c2nc3ccccc3o2)cc1,7.130918025970459,7.2715020179748535,0.14058399200439453
