overall_RMSE,overall_MAE,overall_R²,overall_Spearman ρ,pains_pos_RMSE,pains_pos_MAE,pains_pos_R²,pains_pos_Spearman ρ,pains_neg_RMSE,pains_neg_MAE,pains_neg_R²,pains_neg_Spearman ρ,delta_rmse,fp_ratio,pos_n,neg_n,model,train_time_s
1.0992158651351929,0.8497339487075806,0.32828052685495923,0.5934875622197748,0.9101650714874268,0.7007690072059631,0.41226422606414714,0.6867752582824991,1.1348059177398682,0.8809126019477844,0.31009158206325704,0.5730188467652965,-0.2246408462524414,0.7955034332593943,1179,5633,MLP-DTA,49.28620147705078
1.1994056701660156,0.9590398073196411,0.20025005277399544,0.45887056490554634,1.0174248218536377,0.8151695132255554,0.2655767083758538,0.5256396286803673,1.2341033220291138,0.9891522526741028,0.18407281283935273,0.44174733619931505,-0.21667850017547607,0.8241092337208051,1179,5633,GCN-DTA,469.08190727233887
1.2009587287902832,0.9572429656982422,0.19817757010965797,0.47512102346764934,1.0216779708862305,0.817897617816925,0.25942366599858546,0.5389613543156458,1.2351939678192139,0.9864082932472229,0.18263007526389763,0.46003219188331773,-0.2135159969329834,0.8291674098083254,1179,5633,GAT-DTA,576.1762907505035
1.1422959566116333,0.9101996421813965,0.27459717546987816,0.5220056380616411,0.98005610704422,0.7842399477958679,0.31853482814022727,0.5843937701124438,1.1734176874160767,0.9365633130073547,0.26234444291771375,0.5068220621069349,-0.1933615803718567,0.8373592351210505,1179,5633,AttFP-DTA,503.767076253891
1.1580291986465454,0.9256284236907959,0.25447712390941013,0.5170842236689829,0.9848073124885559,0.7910786867141724,0.3119115275184413,0.5698716019977561,1.19110107421875,0.9537899494171143,0.2399440564929025,0.503649292539189,-0.2062937617301941,0.8294055508800082,1179,5633,GIN-DTA,374.8353943824768
1.1759562492370605,0.9384255409240723,0.2312160723504968,0.49893689156435966,1.0020928382873535,0.8003837466239929,0.28754467788719107,0.5591531715213988,1.2091866731643677,0.9673179984092712,0.21668754280068891,0.48322296827024236,-0.20709383487701416,0.8274256652579048,1179,5633,GINE-DTA,379.01728200912476
1.1694751977920532,0.9345098733901978,0.23966672634209207,0.4928052463944897,0.9914135932922363,0.7949256300926208,0.3026488842775559,0.5734807529276207,1.2034142017364502,0.963725209236145,0.22414847964903895,0.4730338034121791,-0.21200060844421387,0.8248467656814917,1179,5633,PNA-DTA,426.0509421825409
1.1706223487854004,0.9338199496269226,0.2381744421217954,0.49199520156528526,0.9862196445465088,0.7897814512252808,0.30993651794724875,0.5801054152662857,1.2056540250778198,0.9639675617218018,0.22125765302875888,0.4715162222407371,-0.21943438053131104,0.8193029251125155,1179,5633,GT-DTA,393.76071524620056
1.1776806116104126,0.9416570663452148,0.22895990529276666,0.49556035923912417,0.9903169274330139,0.793542742729187,0.3041907783057346,0.5673703435875131,1.2132399082183838,0.9726577401161194,0.2114274569525627,0.47873025888592097,-0.22292298078536987,0.8158499149720968,1179,5633,GPS-DTA,562.8787930011749
1.1751259565353394,0.9361780285835266,0.23230137574776666,0.48863365260011465,0.988908588886261,0.7890723347663879,0.30616845879516874,0.5701871835024612,1.2104816436767578,0.9669676423072815,0.21500892090823942,0.46879030427514035,-0.22157305479049683,0.8160276436172218,1179,5633,SAGE-DTA,371.7369647026062
1.2025846242904663,0.9575665593147278,0.19600517598417166,0.46851246981380823,1.0155616998672485,0.8129533529281616,0.26826400727248056,0.5640274340844383,1.238158941268921,0.9878343939781189,0.17870127607078534,0.4455717598466351,-0.22259724140167236,0.8229652152772855,1179,5633,GATv2-DTA,399.65049290657043
1.1617718935012817,0.9212815165519714,0.24965028235151532,0.5204669104565911,0.9825193881988525,0.7871180176734924,0.31510493668849604,0.6136582723797095,1.195894479751587,0.9493622183799744,0.23381433128959372,0.49960789022939467,-0.21337509155273438,0.8291018898199254,1179,5633,GEN-DTA,388.67948603630066
1.314708948135376,1.0420674085617065,0.03909346751003562,0.4579124896807758,1.1461312770843506,0.9129257798194885,0.0680116123636233,0.5208539150598297,1.3473258018493652,1.0690970420837402,0.027491040131003674,0.44199879938503744,-0.20119452476501465,0.8539222683666898,1179,5633,GS-DTA,336.36166286468506
1.1664601564407349,0.9308810830116272,0.24358220149722554,0.48954809045451897,0.9742090702056885,0.7809364795684814,0.32664180543852084,0.5803882829707957,1.202816128730774,0.9622647762298584,0.22491947000863544,0.4681884318355596,-0.22860705852508545,0.811560903759329,1179,5633,Mamba-DTA,649.8344728946686
1.3073205947875977,1.0740020275115967,0.04986313589668645,0.23704455504427574,1.16060471534729,0.9568634033203125,0.044324540777483046,0.2791317421433765,1.3359911441802979,1.098519206047058,0.0437852361544665,0.21659905531915918,-0.1753864288330078,0.8710483980093824,1179,5633,TranGNN-DTA,440.2631781101227
