overall_RMSE,overall_MAE,overall_R²,overall_Spearman ρ,pains_pos_RMSE,pains_pos_MAE,pains_pos_R²,pains_pos_Spearman ρ,pains_neg_RMSE,pains_neg_MAE,pains_neg_R²,pains_neg_Spearman ρ,delta_rmse,fp_ratio,pos_n,neg_n,model,train_time_s
1.038095474243164,0.7993056774139404,0.4122955587676095,0.6681595778664625,0.8083662986755371,0.6074365377426147,0.5104721740746654,0.7315033665843634,1.0850154161453247,0.8443641662597656,0.3443922279383461,0.6172507237714825,-0.2766491174697876,0.7194011243268793,3377,14380,MLP-DTA,36.04206132888794
1.0970207452774048,0.8717470169067383,0.34368245871793324,0.5913129578249393,0.9450249075889587,0.7355661392211914,0.3309670640129352,0.5883357546862754,1.1297543048858643,0.9037277698516846,0.28921157530877883,0.5374645673027123,-0.18472939729690552,0.8139244533812039,3377,14380,GCN-DTA,951.964688539505
1.0910918712615967,0.863839328289032,0.3507575151463417,0.6045397125490339,0.9342166185379028,0.721524715423584,0.3461830429444911,0.6070718200942348,1.1247644424438477,0.8972604870796204,0.29547654712507954,0.5514662099772685,-0.19054782390594482,0.8041418492979279,3377,14380,GAT-DTA,984.1747589111328
1.0573821067810059,0.8342138528823853,0.39025504838456093,0.63874906737886,0.8978689908981323,0.6905608177185059,0.3960694755121932,0.6391318559389902,1.091467261314392,0.8679493069648743,0.33657210726533193,0.5908088606284552,-0.19359827041625977,0.7956234358629637,3377,14380,AttFP-DTA,1037.2400114536285
1.0657252073287964,0.8400304317474365,0.3805948618748195,0.6390533833776884,0.9115116000175476,0.704763650894165,0.37757737176424166,0.6332371804973506,1.0988070964813232,0.8717964887619019,0.327619340615673,0.5922151947474054,-0.18729549646377563,0.8084038555959427,3377,14380,GIN-DTA,949.9770970344543
1.067954421043396,0.8428624868392944,0.3780010443148555,0.6232423387170504,0.9145570993423462,0.7042812705039978,0.3734111740101572,0.6184539333066909,1.1008833646774292,0.8754068613052368,0.3250759762676243,0.5741324591495907,-0.186326265335083,0.8045187827391739,3377,14380,GINE-DTA,959.843745470047
1.0756977796554565,0.8505194783210754,0.3689484436877639,0.6148091986711696,0.9157904982566833,0.7084671854972839,0.37171992795646325,0.6260222838752215,1.109915018081665,0.8838791251182556,0.31395632737065593,0.5605259798371144,-0.1941245198249817,0.8015430587152585,3377,14380,PNA-DTA,1093.054584980011
1.0761641263961792,0.8501831293106079,0.36840121697169004,0.6116881492782649,0.9178619384765625,0.7057158946990967,0.36887446195028595,0.6152154364992856,1.1100714206695557,0.8841097950935364,0.3137630493170287,0.558576322109843,-0.19220948219299316,0.7982219975769117,3377,14380,GT-DTA,1003.6948268413544
1.0914338827133179,0.8666624426841736,0.3503503923238891,0.5947146927122398,0.9492195844650269,0.7354112863540649,0.32501454729057666,0.5818268460265791,1.1222214698791504,0.8974854946136475,0.2986586866130496,0.5447277875454578,-0.17300188541412354,0.819412996169389,3377,14380,GPS-DTA,1431.0844330787659
1.0818227529525757,0.8573582768440247,0.36174160275419176,0.6054532621070744,0.9247241020202637,0.7157854437828064,0.3594022574041552,0.6146485488677759,1.1155126094818115,0.8906053304672241,0.30701920774400615,0.5514210237708779,-0.19078850746154785,0.8037066602444751,3377,14380,SAGE-DTA,944.6320822238922
1.0958420038223267,0.8665058016777039,0.34509213148327655,0.6171016258868148,0.9402692317962646,0.7268308401107788,0.337683629364703,0.6238650687193655,1.129273533821106,0.8993070125579834,0.2898165574968107,0.5635019371604025,-0.1890043020248413,0.8082121254245136,3377,14380,GATv2-DTA,1020.534905910492
1.0415171384811401,0.8191684484481812,0.4084150089958457,0.6459519623384713,0.8589036464691162,0.6587045788764954,0.4473503357373485,0.6728373132068771,1.079934000968933,0.8568518161773682,0.35051856949248505,0.5931329730960617,-0.2210303544998169,0.768749693649067,3377,14380,GEN-DTA,987.7779581546783
1.2338134050369263,0.9824733734130859,0.169798980432039,0.5254993547252348,1.02212393283844,0.7928627729415894,0.21734903293440944,0.49091763824097523,1.278454303741455,1.0270013809204102,0.08978770534049085,0.46614583839646173,-0.25633037090301514,0.7720172338140817,3377,14380,GS-DTA,859.810546875
1.0827280282974243,0.857081413269043,0.36067294502013114,0.6059552355690082,0.9278337359428406,0.7128868699073792,0.35508668872194693,0.615201884307004,1.1159906387329102,0.8909440636634827,0.306425073960236,0.5512024679887463,-0.18815690279006958,0.800147720805922,3377,14380,Mamba-DTA,1617.600703239441
1.215814232826233,0.9909221529960632,0.19384475837916437,0.44425053624475347,1.078385353088379,0.870738685131073,0.12881775610985746,0.42567822632215063,1.245891809463501,1.0191460847854614,0.13556368582167033,0.36241602854833466,-0.16750645637512207,0.854380632557269,3377,14380,TranGNN-DTA,1138.5176997184753
